Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,33pF,
"C3, C4",0603,2,100nF,
C5,0603,1,10uF,
C6,0603,1,4.7uF,
D1,SOT-23-5,1,ESDA6V1SC5,
J1,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J2,U.FL-R-SMT_10_-foot,1,U.FL-R-SMT_10_,
"Q1, Q2",SOT-23,2,DTC143Z,
Q3,SOT-23,1,AO3415,
R1,0603,1,10k,
U1,XCVR_LC86G,1,LC86G,
