Designator,Mid X,Mid Y,Rotation,Layer
C1,145.15,-76.0775,90.0,top
C2,144.95,-94.5,90.0,top
C3,146.61,-76.0775,90.0,top
C4,146.42,-94.5,90.0,top
C5,148.07,-76.0775,90.0,top
C6,147.88,-94.5,90.0,top
D1,146.4275,-99.66,180.0,top
J1,163.08,-109.01,270.0,bottom
J2,181.26,-86.11,270.0,top
Q1,146.725,-103.71,270.0,top
Q2,146.61,-83.3675,270.0,top
Q3,146.61,-79.5,270.0,top
R1,146.60625,-87.14,180.0,top
U1,163.05,-89.42,0.0,top
